index1,index2,value,coreview_policy.x,coreview_policy.y
11,34,0.027027027027026973,""" In some instances, reviewers may feel that it would be helpful to obtain additional advice from a colleague. In such cases, we ask that the reviewer contact the editor in advance to ensure that the editor has the opportunity to take additional information into account before permitting communications that have the potential to violate confidentiality. It is not appropriate to discuss unpublished manuscripts at laboratory meetings or journal clubs. Reviewers can collaborate with trainees (graduate students and post-docs) in the evaluation of manuscripts, and we appreciate that such collaboration functions as an important training exercise. However, we ask that reviewers keep the number of collaborators to a minimum and include the identities of all the individuals involved in the “comments to the editors” component of their review. Regardless, the person originally invited to review the manuscript is ultimately responsible for maintaining confidentiality and for the content and accuracy of the report. We encourage referees to inform collaborating reviewers about appropriate guidelines and ethics for peer review, as outlined in this document.""","In some instances, reviewers may feel that it would be helpful to obtain additional advice from a colleague. In such cases, we ask that the reviewer contact the editor in advance to ensure that the editor has the opportunity to take additional information into account before permitting communications that have the potential to violate confidentiality. It is not appropriate to discuss unpublished manuscripts at laboratory meetings or journal clubs. Reviewers can collaborate with trainees (graduate students and post-docs) in the evaluation of manuscripts, and we appreciate that such collaboration functions as an important training exercise. However, we ask that reviewers keep the number of collaborators to a minimum and include the identities of all the individuals involved in the “comments to the editors” component of their review. Regardless, the person originally invited to review the manuscript is ultimately responsible for maintaining confidentiality and for the content and accuracy of the report. We encourage referees to inform collaborating reviewers about appropriate guidelines and ethics for peer review, as outlined in this document."
4,26,0.02857142857142858,"Sometimes a reviewer will want to involve junior researchers in the review of an article as it can be good practice and experience for that person. However, you should ensure that you obtain permission from the journal editor prior to accepting the invitation to review. The names of everyone involved in doing the review should be submitted to the editor so that the journal records accurately reflect the review process that took place. Full guidelines for peer reviewers can be found on the Committee on Publication Ethics website here.","""Sometimes a reviewer will want to involve junior researchers in the review of an article as it can be good practice and experience for that person. However, you should ensure that you obtain permission from the journal editor prior to accepting the invitation to review. The names of everyone involved in doing the review should be submitted to the editor so that the journal records accurately reflect the review process that took place. Full guidelines for peer reviewers can be found on the Committee on Publication Ethics website here."""
27,30,0.030303030303030276,"Inferred that this is not allowed from the following: ""Treat the manuscript as confidential: The manuscript (or its existence) should not be shown to, disclosed to, or discussed with others, except in special cases, where specific scientific advice may be sought; in that event the editor must be informed and the identities of those consulted disclosed.""","""Treat the manuscript as confidential: The manuscript (or its existence) should not be shown to, disclosed to, or discussed with others, except in special cases, where specific scientific advice may be sought; in that event the editor must be informed and the identities of those consulted disclosed. Information acquired by a reviewer from such a paper is not available for disclosure or citation until the paper is published."""
13,14,0.03703703703703709,"""Peer reviewers are required to maintain confidentiality about the manuscripts they review and must not divulge any information about a specific manuscript or its content to any third party without prior permission from the journal editors.""",Peer reviewers are required to maintain confidentiality about the manuscripts they review and must not divulge any information about a specific manuscript or its content to any third party without prior permission from the journal editors.
12,27,0.09375,"The manuscript (or its existence) should not be shown to, disclosed to, or discussed with others, except in special cases, where specific scientific advice may be sought; in that event the editor must be informed and the identities of those consulted disclosed.","Inferred that this is not allowed from the following: ""Treat the manuscript as confidential: The manuscript (or its existence) should not be shown to, disclosed to, or discussed with others, except in special cases, where specific scientific advice may be sought; in that event the editor must be informed and the identities of those consulted disclosed."""
6,19,0.09677419354838712,Unpublished manuscripts are confidential and you must not disclose their contents to anyone except a professional colleague whose input you request as part of your review process. If you do choose to discuss the manuscript and/or your review with a professional colleague you are responsible for ensuring that they are made fully aware of the confidential nature of the discussion and that they must not disclose any information about the manuscript until the article is published. The identity of any co-reviewer and any potential conflicting or competing interests they may have must be disclosed when submitting your review.,"If you do choose to discuss the manuscript and/or your review with a professional colleague whose input you request as part of your review process, you are responsible for ensuring that they are made fully aware of the confidential nature of the discussion and that they must not disclose any information about the manuscript until the article is published. The identity of any co-reviewer and any potential conflicting or competing interests they may have must be disclosed when submitting your review."
31,32,0.09677419354838712,"It is acceptable to consult with laboratory colleagues, but please identify them to the editors. Consulting with experts from outside the referee’s own laboratory may be acceptable, but please check with the editors before doing so, to avoid involving anyone who may have been excluded by the authors.","We ask referees to treat the review process as strictly confidential, and not to discuss the manuscript with anyone not directly involved in the review. It is acceptable to consult with laboratory colleagues, but please identify them to the editors. Consulting with experts from outside the referee's own laboratory may be acceptable, but please check with the editors before doing so, to avoid involving anyone who may have been excluded by the authors."
10,34,0.10810810810810811,"“In some instances, reviewers may feel that it would be helpful to obtain additional advice from a colleague. … In such cases, we ask that the reviewer contact the editor in advance to ensure that the editor has the opportunity to take additional information into account before permitting communications that have the potential to violate confidentiality. …Reviewers can collaborate with trainees (graduate students and post-docs) in the evaluation of manuscripts… However, we ask that reviewers keep the number of collaborators to a minimum and include the identities of all the individuals involved in the “comments to the editors” component of their review. Regardless, the person originally invited to review the manuscript is ultimately responsible for maintaining confidentiality and for the content and accuracy of the report.”","In some instances, reviewers may feel that it would be helpful to obtain additional advice from a colleague. In such cases, we ask that the reviewer contact the editor in advance to ensure that the editor has the opportunity to take additional information into account before permitting communications that have the potential to violate confidentiality. It is not appropriate to discuss unpublished manuscripts at laboratory meetings or journal clubs. Reviewers can collaborate with trainees (graduate students and post-docs) in the evaluation of manuscripts, and we appreciate that such collaboration functions as an important training exercise. However, we ask that reviewers keep the number of collaborators to a minimum and include the identities of all the individuals involved in the “comments to the editors” component of their review. Regardless, the person originally invited to review the manuscript is ultimately responsible for maintaining confidentiality and for the content and accuracy of the report. We encourage referees to inform collaborating reviewers about appropriate guidelines and ethics for peer review, as outlined in this document."
33,40,0.11111111111111116,"It is acceptable to consult with laboratory colleagues, but please identify them to the editors.","Material under review is a privileged communication that should not be shared or discussed with anyone outside the designated review process unless necessary and approved by the editor. If you wish to consult a colleague for assistance with the review, please ensure they are free of any conflicts of interest and agree to abide by journal policies."
4,41,0.11764705882352944,"Sometimes a reviewer will want to involve junior researchers in the review of an article as it can be good practice and experience for that person. However, you should ensure that you obtain permission from the journal editor prior to accepting the invitation to review. The names of everyone involved in doing the review should be submitted to the editor so that the journal records accurately reflect the review process that took place. Full guidelines for peer reviewers can be found on the Committee on Publication Ethics website here.","Sometimes a reviewer will want to involve junior researchers in the review of an article as it can be good practice and experience for that person. However, you should ensure that you obtain permission from the journal editor prior to accepting the invitation to review. The names of everyone involved in doing the review should be submitted to the editor so that the journal records accurately reflect the review process that took place."
