reviewer 1,review_date_1,reviewer 2,review_date_2,reviewer 3,review_date_3,issn,title,top_journals_in,publisher,pr_type,pr_policy,pr_form_url,pr_credit_url,pr_database,pr_transfer_policy,pr_transfer_url,opr_reports,opr_responses,opr_letters,opr_versions,opr_identities_published,opr_indenties_author,opr_comments,opr_interaction,opr_additional,coreview_policy,coreview_url,coreview_email,coreview_form,coreview_database,preprint_url,preprint_version,preprint_servers,preprint_citation,preprint_link,preprint_media,preprint_licensing,preprint_scoop,preprint_review,Free Notes/Observations,Time taken to do the Survey,Reviewer 2 changes,gs_title,h5-index,h5-median,G_100_rank,G_BEM_rank,G_CMS_rank,G_ECS_rank,G_HMS_rank,G_HLA_rank,G_LSES_rank,G_PM_rank,G_SS_rank
SR,2018-11-21,TRH,2019-04-20,JP,2019-04-26,1040-2446,Academic Medicine,Social Sciences,Wolters Kluwer,Single blind,https://journals.lww.com/academicmedicine/Pages/InstructionsforAuthors.aspx#peerreview,https://journals.lww.com/academicmedicine/Documents/ReviewerFAQs_Sept2012_v1.pdf,NA,Unsure,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,NA,"""If you wish to involve a
specially qualified colleague in the review (or perhaps want to guide a junior colleague in learning
how to review), you must contact the editorial office and ask for permission ahead of time.""",https://journals.lww.com/academicmedicine/Documents/ReviewerFAQs_Sept2012_v1.pdf,Yes,Unsure,Unsure,https://journals.lww.com/academicmedicine/Pages/InstructionsforAuthors.aspx#publicationaheadofprint,"Unsure (prerints allowed, but unclear which version",Not specified,"Yes, in the reference list",Yes,"At submission, authors must explain any prior publication (including any electronic publication, such as a blog post) of the same or a substantially similar manuscript, or partial disclosure of data, as well as circumstances that might lead the editor-in-chief, deputy or associate editors, reviewers, or editorial staff to believe (1) that the manuscript may have been published elsewhere (e.g., when the title of a submitted manuscript is the same as or similar to the title of a previously published article), or (2) that the manuscript or one very similar to it may have been published in or submitted to Academic Medicine previously.",Not specified,"In general, all findings from a single study should be reported in a single manuscript rather than dividing a project into a series of “minimum publishable units.” We do recognize, however, that in some cases, it is appropriate to develop multiple submissions based on a single project, and we would encourage authors, in such cases, to submit all manuscripts to the same journal so they can be evaluated together. Occasions when it might be appropriate to submit multiple manuscripts from a single project include but are not limited to distinctly different research questions being posed about the same data set, reanalysis (new questions) of a data set suggested by subsequent experience, and large segments of complex analyses that do not easily fit within normal length limitations and can be seen as freestanding components.
 
 Always clearly disclose at the time of submission any previous or planned submissions from the same study, project, or data set by noting this in the submission form. Also, related publications should be referenced in the manuscript.
 
 Circumstances that suggest inappropriate prior or duplicate publication include but are not limited to (1) cases where the results of the same study are divided into different manuscripts (e.g., findings for faculty are reported in one and findings for residents are reported in another), one of which is submitted to Academic Medicine and another of which is submitted either to Academic Medicine or elsewhere, and/or (2) cases in which data from the same study are analyzed in different ways to produce apparently different manuscripts.",NA,NA,NA,NA,Academic Medicine,64,93,NA,NA,NA,NA,NA,NA,NA,NA,9
SR,2018-11-22,TRH,2019-04-20,JP,2019-04-26,1944-8252,ACS Applied Materials & Interfaces,"Chemical & Materials Sciences, Engineering & Computer Science",American Chemical Society,Single Blind,"https://pubs.acs.org/paragonplus/submission/aamick/aamick_authguide.pdf
https://pubs.acs.org/publish/peer_reviews",NA,NA,Unsure,"Authors select a new journal; manuscript Transfer
 simplifies and shortens manuscript submission to another ACS journal, as all the coauthors,
 suggested reviewers, manuscript files, and responses to submission questions are copied to the
 new submission.",https://pubs.acs.org/paragonplus/submission/aamick/aamick_authguide.pdf,Not specified,Not specified,Not specified,Not specified,No,Conditional,Not specified,Not specified,"Single blind inferred from reviewer COI, but anonymity of peer review. // ""Reviewer and Review Confidentiality: If the reviewer wishes to disclose his/her identity to the manuscript authors, the editor should be consulted, and the decision to disclose such information to authors is the sole discretion of the editor"" - https://pubs.acs.org/userimages/ContentEditor/1218054468605/ethics.pdf",NA,NA,Unsure,Unsure,Unsure,"https://pubs.acs.org/page/aamick/submission/prior.html, https://pubs.acs.org/paragonplus/submission/aamick/aamick_authguide.pdf",First submission only (before peer review),NA,Unsure,No,NA,NA,NA,NA,NA,NA,NA,ACS Applied Materials & Interfaces,137,172,51,NA,15,13,NA,NA,NA,NA,NA
SR,2018-11-22,TRH,2019-04-20,JP,2019-04-26,1520-4898,Accounts of Chemical Research,Chemical & Materials Sciences,American Chemical Society,Single Blind,https://pubs.acs.org/paragonplus/submission/achre4/achre4_authguide.pdf,NA,NA,Unsure,"If your submission is declined for publication by this journal, the editors might deem your work to be
better suited for another ACS Publications journal and suggest that the authors consider transferring the
submission. Manuscript Transfer simplifies and shortens the process of submitting to another ACS
journal, as all the coauthors, suggested reviewers, manuscript files, and responses to submission
questions are copied by ACS Paragon Plus to the new draft submission. Authors are free to accept or
decline the transfer offer.
Note that each journal is editorially independent. Transferring a manuscript is not a guarantee that the
manuscript will be accepted, as the final publication decision will belong to the editor of the next
journal.","https://pubs.acs.org/paragonplus/submission/achre4/achre4_authguide.pdf, https://pubs.acs.org/page/policy/manuscript_transfer/index.html",Not specified,Not specified,Not specified,Not specified,No,Conditional,Not specified,Not specified,"""Reviewer and Review Confidentiality: If the reviewer wishes to disclose his/her identity to
the manuscript authors, the editor should be consulted, and the decision to disclose such
information to authors is the sole discretion of the editor"" - https://pubs.acs.org/userimages/ContentEditor/1218054468605/ethics.pdf",NA,NA,Unsure,Unsure,Unsure,https://pubs.acs.org/paragonplus/submission/achre4/achre4_authguide.pdf,None (preprints not allowed),"Because Accounts of Chemical Research publishes review-like content, the posting of manuscripts on a preprint server such as ArXiv, BioRxiv or ChemRxiv is not appropriate. Manuscripts that have been publicly posted will not be accepted.",Unsure,No,NA,NA,NA,NA,NA,NA,NA,Accounts of Chemical Research,165,236,28,NA,10,NA,NA,NA,NA,NA,NA
SR,2018-11-22,NP,2019-04-19,JP,2019-04-26,2155-5435,ACS Catalysis,NA,American Chemical Society,Single blind,https://pubs.acs.org/page/accacs/submission/reviewers.html and https://pubs.acs.org/userimages/ContentEditor/1218054468605/ethics.pdf,NA,Not specified,Unsure,"If the manuscript has been peer reviewed, the reviews and the reviewer identities will be transferred to the next journal. If authors do not wish to share the reviews, they should decline the offer to transfer the submission. Sharing the editor’s decision letter and manuscript reviews, if available, may shorten the decision time in the next journal. However, the editor of the next journal may still elect to send the manuscript out for additional peer review. The ACS editor’s decision letter is always shared with the next journal. If authors do not wish to share the editor’s decision letter, they should decline the offer to transfer the submission.",https://pubs.acs.org/page/policy/manuscript_transfer/index.html,Not specified,Not specified,Not specified,Not specified,No,Conditional,Not specified,Not specified,"""Reviewer and Review Confidentiality: If the reviewer wishes to disclose his/her identity to
the manuscript authors, the editor should be consulted, and the decision to disclose such
information to authors is the sole discretion of the editor"" - https://pubs.acs.org/userimages/ContentEditor/1218054468605/ethics.pdf",Not specified,NA,Unsure,Unsure,Unsure,https://pubs.acs.org/page/accacs/submission/prior.html https://pubs.acs.org/page/policy/authorchoice/index.html,First submission only (before peer review),"""Posting of the original submitted manuscript to a pre-print server is acceptable. Please note the use of a pre-print server explicitly in the cover letter, and as appropriate, state how the manuscript has been adjusted/updated between the pre-print version and the version submitted to ACS Catalysis. Authors may not revise these preprints. Upon publication in ACS Catalysis authors are advised to add a link from the preprint to the published paper via the Digital Object Identifier (DOI). Some services,such as ChemRxiv and bioRxiv, add this link for authors automatically after publication"".",Unsure,Unsure,"Ethics statement: ""A scientist should not proclaim a discovery to the public unless the experimental, statistical, or theoretical support for it is of strength sufficient to warrant publication in the scientific literature. An account of the experimental work and results that support a public pronouncement should be submitted as quickly as possible for publication in a scientific journal. Scientists should, however, be aware that disclosure of research results in the public press or in an electronic database or bulletin board might be considered by a journal editor as equivalent to a preliminary communication in the scientific literature.""",NA,NA,NA,NA,NA,NA,ACS Catalysis,117,158,96,NA,NA,NA,NA,NA,NA,NA,NA
SR,2018-11-21,TRH,2019-04-20,JP,2019-04-26,0001-4273,Academy of Management Journal,"Business, Economics & Management",Academy of Management,Double blind,"http://aom.org/Publications/AMJ/Information-for-Contributors.aspx, https://aom.org/Publications/AMR/Frequently-Asked-Questions.aspx#amrR7",http://aom.org/uploadedFiles/Publications/AMJ/07_Colquitt_IrelandApr09FTE.pdf,NA,Unsure,NA,NA,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,NA,"Can I have my student write my review? No, your review should be written by you. Do not have your students write your reviews for AMR. Our authors expect, and deserve, high quality reviews from the leading scholars in the field. We understand that doctoral students need to learn how to write reviews, but there are other methods that can be used. For example, you could share your own manuscripts and the reviews you received as an author with your students to facilitate their learning.",https://aom.org/Publications/AMR/Frequently-Asked-Questions.aspx#amrR7,No,No,No,http://aom.org/Publications/AMJ/Information-for-Contributors.aspx,None,"Submission Requirements: When authors submit their manuscripts to AMJ for publication consideration, they agree to abide by AMJ’s publication requirements. Specifically, an author must ... Agree that working papers, prior drafts, and/or final versions of submitted manuscripts that are posted on a Web site (e.g., personal, departmental, university, or working series sites) will be taken down during the review process.",NA,No,NA,NA,NA,NA,NA,NA,NA,Academy of Management Journal,84,124,NA,10,NA,NA,NA,NA,NA,NA,NA
SR,2018-11-29,NP,2019-04-19,JP,2019-04-26,1936-086X,ACS Nano,"Chemical & Materials Sciences, Engineering & Computer Science",American Chemical Society,Single blind,https://pubs.acs.org/userimages/ContentEditor/1218054468605/ethics.pdf,https://pubs.acs.org/pb-assets/acspubs/Migrated/ancac3_revguide.pdf,Not specified,Unsure,"[To other ACS journals] If the manuscript has been peer reviewed, the reviews and the reviewer identities will be transferred to the next journal. If authors do not wish to share the reviews, they should decline the offer to transfer the submission.",https://pubs.acs.org/page/policy/manuscript_transfer/index.html,Not specified,Not specified,Not specified,Not specified,Not specified,Conditional,Not specified,Not specified,"""Reviewer and Review Confidentiality: If the reviewer wishes to disclose his/her identity to
the manuscript authors, the editor should be consulted, and the decision to disclose such
information to authors is the sole discretion of the editor"" - https://pubs.acs.org/userimages/ContentEditor/1218054468605/ethics.pdf",NA,NA,Unsure,Unsure,Unsure,https://pubs.acs.org/page/ancac3/submission/prior.html,First submission only (before peer review),NA,Not specified,Unsure,"Ethics statement: ""A scientist should not proclaim a discovery to the public unless the experimental, statistical, or theoretical support for it is of strength sufficient to warrant publication in the scientific literature. An account of the experimental work and results that support a public pronouncement should be submitted as quickly as possible for publication in a scientific journal. Scientists should, however, be aware that disclosure of research results in the public press or in an electronic database or bulletin board might be considered by a journal editor as equivalent to a preliminary communication in the scientific literature.""",Not specified,Not specified,Not specified,NA,NA,NA,ACS Nano,199,279,15,NA,6,2,NA,NA,NA,NA,NA
SR,2018-11-29,NP,2019-04-19,JP,2019-04-26,1614-6840,Advanced Energy Materials,"Chemical & Materials Sciences, Engineering & Computer Science",Wiley-VCH,"Unsure: at least single blind ""2.10 To ensure the confidentiality of the names and other details of referees; adjudication and
appeal referees may be informed of the names of prior referees, if appropriate.""",https://application.wiley-vch.de/util/cta/euchems_ethicalguidelines.pdf,NA,NA,Unsure,NA,NA,Not specified,Not specified,Not specified,Not specified,No,Not specified,Not specified,Not specified,NA,NA,NA,Unsure,Unsure,Unsure,https://onlinelibrary.wiley.com/pb-assets/assets/16146840/2528_Guide_for_Authors.pdf and https://wol-prod-cdn.literatumonline.com/pb-assets/assets/16146840/2528_Guide_for_Authors-1510012860000.pdf,None (preprints not allowed),NA,Not specified,NA,NA,NA,NA,NA,"Ethical guidelines link to URL with 404 (https://www.euchems.eu/fileadmin/user_upload/binaries/EthicalGuidelines_tcm23-54570.pdf), found elsewhere (EUChemS)",NA,NA,Advanced Energy Materials,128,187,65,NA,17,15,NA,NA,NA,NA,NA
SR,2018-11-29,NP,2019-04-19,JP,2019-04-26,1616-3028,Advanced Functional Materials,"Chemical & Materials Sciences, Engineering & Computer Science",Wiley-VCH,"Unsure - at least single blind ""2.10 To ensure the confidentiality of the names and other details of referees; adjudication and
appeal referees may be informed of the names of prior referees, if appropriate.""",https://application.wiley-vch.de/util/cta/euchems_ethicalguidelines.pdf,NA,NA,Unsure,NA,NA,Not specified,Not specified,Not specified,Not specified,No,Not specified,Not specified,Not specified,NA,NA,NA,Unsure,Unsure,Unsure,https://wol-prod-cdn.literatumonline.com/pb-assets/assets/16163028/AFM-guide-for-authors-may-2018-1526994585463.pdf,None (preprints not allowed),NA,Not specified,NA,NA,NA,NA,NA,NA,NA,NA,Advanced Functional Materials,146,203,45,NA,13,11,NA,NA,NA,NA,NA
SR,2018-11-29,JP,2019-04-17,TRH,2019-04-24,1521-4095,Advanced Materials,"Chemical & Materials Sciences, Engineering & Computer Science",Wiley-VCH,Unsure,https://wol-prod-cdn.literatumonline.com/pb-assets/assets/15214095/2089_guidelines-1510017322000.pdf,NA,Not specified,Unsure,NA,NA,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,NA,To treat the manuscript as confidential. The editor must be informed if the referee consults a colleague about the manuscript.,NA,unsure,unsure,unsure,https://onlinelibrary.wiley.com/pb-assets/assets/15214095/2089_guidelines.pdf,None (preprints not allowed(,NA,Not specified,No,NA,Not specified,Not specified,NA,"Wiley does not offer information on peer review explicitly on the website of any of the journals looked at here, but only as part of a ""Guide for Authors"" (see above for the URL).",NA,NA,Advanced Materials,235,336,10,NA,4,1,NA,NA,NA,NA,NA
SR,2018-11-29,JP,2019-04-17,TRH,2019-04-24,0002-8282,American Economic Review,"Business, Economics & Management",American Economic Association,Double blind,https://www.aeaweb.org/journals/aer/reviewers,NA,Not specified,Unsure,NA,NA,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,NA,NA,https://www.aeaweb.org/content/file?id=222,Unsure,Unsure,Unsure,https://www.aeaweb.org/journals/policies/copyright,"Unsure (preprints are allowed, but it's not clear what version)",NA,Not specified,Unsure,NA,NA,NA,NA,NA,NA,NA,American Economic Review,141,226,47,1,NA,NA,NA,NA,NA,NA,NA
SR,2018-11-29,JP,2019-04-17,TRH,2019-04-24,1540-5907,American Journal of Political Science,Social Sciences,Midwest Political Science Association,Double blind,https://ajps.org/guidelines-for-manuscripts/,NA,Not specified,Unsure,NA,NA,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,NA,NA,https://ajps.org/ajps-reviewer-instructions/,Unsure,Unsure,Unsure,https://ajpsblogging.files.wordpress.com/2015/09/ajps-author-resources-ver-1-0.pdf,"After peer review (but not final, copyedited version)","The author retains the right to self-archive the final submitted draft of his or her AJPS article on a personal website, a not-for-profit repository, or the author’s company/university repository or archive. Once the article publishes in its final form, please include a link to that version from the submitted version.",Not specified,Unsure,NA,NA,NA,NA,"""The AJPS Editor reserves the right to refuse submissions from authors who repeatedly fail to provide reviews for the Journal when invited to do so.""",NA,NA,American Journal of Political Science,68,114,NA,NA,NA,NA,NA,NA,NA,NA,8
SR,2018-11-29,JP,2019-04-17,TRH,2019-04-24,1541-0048,American Journal of Public Health,Social Sciences,American Public Health Association,Double blind,https://ajph.aphapublications.org/page/authors.html,NA,NA,Unsure,NA,NA,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,NA,NA,https://ajph.aphapublications.org/page/authors.html,Unsure,Unsure,Unsure,NA,No preprint policy,Not specified,NA,No,NA,NA,NA,NA,NA,NA,NA,American Journal of Public Health,86,119,NA,NA,NA,NA,NA,NA,NA,NA,4
SR,2018-11-29,SH,2019-04-14,TRH,2019-04-24,1537-5943,American Political Science Review,Social Sciences,Cambridge Core,Double blind,https://www.apsanet.org/APSR-Submission-Guidelines,NA,NA,Unsure,NA,NA,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,NA,NA,NA,Unsure,Unsure,Unsure,NA,Unsure,NA,Unsure,Unsure,NA,NA,NA,NA,"OPR options ""Not specified"", though they perform double-blind review so presumably not]; Will soon launch their own preprint server: https://www.cambridge.org/core/services/authors/apsa-preprints; preprint citations -  [Unsure: ""Please include a link to all non published work, i.e. working papers, conference papers, etc.""]",NA,NA,American Political Science Review,59,94,NA,NA,NA,NA,NA,NA,NA,NA,13
