title,issn,variable,value,label
Academic Medicine,1040-2446,co_review,Yes,Can co-reviewers contribute?
ACS Applied Materials & Interfaces,1944-8252,co_review,No,Can co-reviewers contribute?
Accounts of Chemical Research,1520-4898,co_review,No,Can co-reviewers contribute?
ACS Catalysis,2155-5435,co_review,No,Can co-reviewers contribute?
Academy of Management Journal,0001-4273,co_review,Yes,Can co-reviewers contribute?
ACS Nano,1936-086X,co_review,No,Can co-reviewers contribute?
Advanced Energy Materials,1614-6840,co_review,No,Can co-reviewers contribute?
Advanced Functional Materials,1616-3028,co_review,No,Can co-reviewers contribute?
Advanced Materials,1521-4095,co_review,No,Can co-reviewers contribute?
American Economic Review,0002-8282,co_review,No,Can co-reviewers contribute?
American Journal of Political Science,1540-5907,co_review,No,Can co-reviewers contribute?
American Journal of Public Health,1541-0048,co_review,No,Can co-reviewers contribute?
American Political Science Review,1537-5943,co_review,No,Can co-reviewers contribute?
American Sociological Review,1939-8271,co_review,Yes,Can co-reviewers contribute?
Angewandte Chemie International Edition,1521-3773,co_review,No,Can co-reviewers contribute?
Annals of Internal Medicine,0003-4819,co_review,Yes,Can co-reviewers contribute?
Annals of Oncology,1569-8041,co_review,No,Can co-reviewers contribute?
Annals of the Rheumatic Diseases,1468-2060,co_review,Yes,Can co-reviewers contribute?
Annals of Tourism Research,0160-7383,co_review,No,Can co-reviewers contribute?
Applied Energy,0306-2619,co_review,No,Can co-reviewers contribute?
Applied Linguistics,1477-450X,co_review,Yes,Can co-reviewers contribute?
Applied Physics Letters,1077-3118,co_review,No,Can co-reviewers contribute?
Astronomy & Astrophysics,1432-0746,co_review,No,Can co-reviewers contribute?
Biomaterials,0142-9612,co_review,No,Can co-reviewers contribute?
Blood,1528-0020,co_review,Yes,Can co-reviewers contribute?
BMJ,1756-1833,co_review,Yes,Can co-reviewers contribute?
Cancer Cell,1535-6108,co_review,Yes,Can co-reviewers contribute?
Cancer Research,0099-7013,co_review,No,Can co-reviewers contribute?
Cell,1097-4172,co_review,Yes,Can co-reviewers contribute?
Cell Metabolism,1550-4131,co_review,Yes,Can co-reviewers contribute?
Cell Stem Cell,1934-5909,co_review,Yes,Can co-reviewers contribute?
"Chemical communications (Cambridge, England)",0144-557X,co_review,No,Can co-reviewers contribute?
Chemical Reviews,1520-6890,co_review,No,Can co-reviewers contribute?
Chemical Society reviews,1460-4744,co_review,No,Can co-reviewers contribute?
Chemistry of Materials,1520-5002,co_review,No,Can co-reviewers contribute?
Circulation,0009-7322,co_review,No,Can co-reviewers contribute?
Circulation Research,1524-4571,co_review,No,Can co-reviewers contribute?
Clinical Cancer Research,1557-3265,co_review,Yes,Can co-reviewers contribute?
Computers & Education,0360-1315,co_review,No,Can co-reviewers contribute?
Diabetes Care,1935-5548,co_review,No,Can co-reviewers contribute?
Digital Journalism,2167-082X,co_review,No,Can co-reviewers contribute?
Econometrica,1468-0262,co_review,No,Can co-reviewers contribute?
Energy and Environmental Science,1754-5706,co_review,No,Can co-reviewers contribute?
Environmental Science & Technology,0013-936X,co_review,No,Can co-reviewers contribute?
European Heart Journal,1522-9645,co_review,No,Can co-reviewers contribute?
European Urology,0302-2838,co_review,No,Can co-reviewers contribute?
Gastroenterology,0016-5085,co_review,No,Can co-reviewers contribute?
Gender & Society,1552-3977,co_review,No,Can co-reviewers contribute?
Geophysical Research Letters,1944-8007,co_review,No,Can co-reviewers contribute?
Global Environmental Change,0959-3780,co_review,No,Can co-reviewers contribute?
Government Information Quarterly,0740-624X,co_review,No,Can co-reviewers contribute?
Gut,1468-3288,co_review,Yes,Can co-reviewers contribute?
Health Affairs,1544-5208,co_review,Yes,Can co-reviewers contribute?
Hepatology,1527-3350,co_review,No,Can co-reviewers contribute?
IEEE Communications Magazine,0163-6804,co_review,No,Can co-reviewers contribute?
IEEE Communications Surveys & Tutorials,1553-877X,co_review,No,Can co-reviewers contribute?
"IEEE Conference on Computer Vision and Pattern Recognition, CVPR","Only ISBN available, counts as a book",co_review,Yes,Can co-reviewers contribute?
IEEE International Conference on Computer Vision,2380-7504,co_review,Yes,Can co-reviewers contribute?
IEEE Transactions on Automatic Control,0018-9286,co_review,No,Can co-reviewers contribute?
IEEE Transactions on Industrial Electronics,0278-0046,co_review,No,Can co-reviewers contribute?
IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,co_review,No,Can co-reviewers contribute?
IEEE Transactions on Power Electronics,0885-8993,co_review,No,Can co-reviewers contribute?
IEEE Transactions on Signal Processing,1053-587X,co_review,No,Can co-reviewers contribute?
Immunity,1074-7613,co_review,No,Can co-reviewers contribute?
International Journal of Communication,1932-8036,co_review,No,Can co-reviewers contribute?
International Journal of Production Economics,0925-5273,co_review,No,Can co-reviewers contribute?
Journal of the American Medical Association,1538-3598,co_review,No,Can co-reviewers contribute?
Journal of Allergy and Clinical Immunology,0091-6749,co_review,No,Can co-reviewers contribute?
Journal of Banking & Finance,0378-4266,co_review,No,Can co-reviewers contribute?
Journal of Business Ethics,1573-0697,co_review,No,Can co-reviewers contribute?
Journal of Business Research,0148-2963,co_review,No,Can co-reviewers contribute?
Journal of Cleaner Production,0959-6526,co_review,No,Can co-reviewers contribute?
Journal of Clinical Oncology,1527-7755,co_review,No,Can co-reviewers contribute?
Journal of Communication,1460-2466,co_review,No,Can co-reviewers contribute?
Journal of Cosmology and Astroparticle Physics,1475-7516,co_review,Yes,Can co-reviewers contribute?
Journal of Economic Perspectives,1944-7965,co_review,No,Can co-reviewers contribute?
Journal of Educational Psychology,1939-2176,co_review,Yes,Can co-reviewers contribute?
Journal of Financial Economics,0304-405X,co_review,No,Can co-reviewers contribute?
Journal of Geophysical Research,2156-2202,co_review,No,Can co-reviewers contribute?
Journal of Hepatology,0168-8278,co_review,No,Can co-reviewers contribute?
Journal of High Energy Physics,1029-8479,co_review,No,Can co-reviewers contribute?
Journal of Management,1557-1211,co_review,Yes,Can co-reviewers contribute?
Journal of Materials Chemistry. A,2050-7488,co_review,No,Can co-reviewers contribute?
Journal of Pragmatics,0378-2166,co_review,No,Can co-reviewers contribute?
Journal of the American Chemical Society,1520-5126,co_review,No,Can co-reviewers contribute?
Journal of the American College of Cardiology,0735-1097,co_review,No,Can co-reviewers contribute?
Journal of Youth and Adolescence,1573-6601,co_review,No,Can co-reviewers contribute?
Journalism,1741-3001,co_review,No,Can co-reviewers contribute?
Journalism Practice,1751-2786,co_review,No,Can co-reviewers contribute?
Journalism Studies,1461-670X,co_review,No,Can co-reviewers contribute?
Land Use Policy,0264-8377,co_review,No,Can co-reviewers contribute?
Language Learning,1467-9922,co_review,No,Can co-reviewers contribute?
Lingua,0024-3841,co_review,No,Can co-reviewers contribute?
Management Information Systems Quarterly,2162-9730,co_review,No,Can co-reviewers contribute?
Management Science,1526-5501,co_review,No,Can co-reviewers contribute?
"Media, Culture & Society",1460-3675,co_review,No,Can co-reviewers contribute?
Molecular Cell,1097-2765,co_review,No,Can co-reviewers contribute?
Monthly Notices of the Royal Astronomical Society,1365-2966,co_review,No,Can co-reviewers contribute?
Nano Letters,1530-6992,co_review,Yes,Can co-reviewers contribute?
