journal,issn,pr_type_clean
Academic Medicine,1040-2446,Single blind
ACS Applied Materials & Interfaces,1944-8252,Single blind
Accounts of Chemical Research,1520-4898,Single blind
ACS Catalysis,2155-5435,Single blind
Academy of Management Journal,0001-4273,Double blind
ACS Nano,1936-086X,Single blind
Advanced Energy Materials,1614-6840,Unsure
Advanced Functional Materials,1616-3028,Unsure
Advanced Materials,1521-4095,Unsure
American Economic Review,0002-8282,Double blind
American Journal of Political Science,1540-5907,Double blind
American Journal of Public Health,1541-0048,Double blind
American Political Science Review,1537-5943,Double blind
American Sociological Review,1939-8271,Double blind
Angewandte Chemie International Edition,1521-3773,Single blind
Annals of Internal Medicine,0003-4819,Single blind
Annals of Oncology,1569-8041,Unsure
Annals of the Rheumatic Diseases,1468-2060,Single blind
Annals of Tourism Research,0160-7383,Double blind
Applied Energy,0306-2619,Single blind
Applied Linguistics,1477-450X,Double blind
Applied Physics Letters,1077-3118,Unsure
Astronomy & Astrophysics,1432-0746,Unsure
Biomaterials,0142-9612,Single blind
Blood,1528-0020,Single blind
BMJ,1756-1833,Not blinded
Cancer Cell,1535-6108,Single blind
Cancer Research,0099-7013,Unsure
Cell,1097-4172,Single blind
Cell Metabolism,1550-4131,Single blind
Cell Stem Cell,1934-5909,Single blind
"Chemical communications (Cambridge, England)",0144-557X,Single blind
Chemical Reviews,1520-6890,Unsure
Chemical Society reviews,1460-4744,Unsure
Chemistry of Materials,1520-5002,Unsure
Circulation,0009-7322,Single blind
Circulation Research,1524-4571,Single blind
Clinical Cancer Research,1557-3265,Unsure
Computers & Education,0360-1315,Double blind
Diabetes Care,1935-5548,Single blind
Digital Journalism,2167-082X,Double blind
Econometrica,1468-0262,Unsure
Energy and Environmental Science,1754-5706,Single blind
Environmental Science & Technology,0013-936X,Unsure
European Heart Journal,1522-9645,Unsure
European Urology,0302-2838,Single blind
Gastroenterology,0016-5085,Single blind
Gender & Society,1552-3977,Double blind
Geophysical Research Letters,1944-8007,Unsure
Global Environmental Change,0959-3780,Double blind
Government Information Quarterly,0740-624X,Other
Gut,1468-3288,Single blind
Health Affairs,1544-5208,Double blind
Hepatology,1527-3350,Unsure
IEEE Communications Magazine,0163-6804,Unsure
IEEE Communications Surveys & Tutorials,1553-877X,Unsure
"IEEE Conference on Computer Vision and Pattern Recognition, CVPR","Only ISBN available, counts as a book",Double blind
IEEE International Conference on Computer Vision,2380-7504,Double blind
IEEE Transactions on Automatic Control,0018-9286,Unsure
IEEE Transactions on Industrial Electronics,0278-0046,Unsure
IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,Unsure
IEEE Transactions on Power Electronics,0885-8993,Single blind
IEEE Transactions on Signal Processing,1053-587X,Single blind
Immunity,1074-7613,Single blind
International Journal of Communication,1932-8036,Unsure
International Journal of Production Economics,0925-5273,Double blind
Journal of the American Medical Association,1538-3598,Single blind
Journal of Allergy and Clinical Immunology,0091-6749,Unsure
Journal of Banking & Finance,0378-4266,Double blind
Journal of Business Ethics,1573-0697,Double blind
Journal of Business Research,0148-2963,Double blind
Journal of Cleaner Production,0959-6526,Single blind
Journal of Clinical Oncology,1527-7755,Single blind
Journal of Communication,1460-2466,Unsure
Journal of Cosmology and Astroparticle Physics,1475-7516,Single blind
Journal of Economic Perspectives,1944-7965,Unsure
Journal of Educational Psychology,1939-2176,Double blind
Journal of Financial Economics,0304-405X,Unsure
Journal of Geophysical Research,2156-2202,Unsure
Journal of Hepatology,0168-8278,Unsure
Journal of High Energy Physics,1029-8479,Single blind
Journal of Management,1557-1211,Double blind
Journal of Materials Chemistry. A,2050-7488,Single blind
Journal of Pragmatics,0378-2166,Double blind
