journal,issn,variable,label,value
Academic Medicine,1040-2446,opr_reports,Are peer review reports being published?,Not specified
ACS Applied Materials & Interfaces,1944-8252,opr_reports,Are peer review reports being published?,Not specified
Accounts of Chemical Research,1520-4898,opr_reports,Are peer review reports being published?,Not specified
ACS Catalysis,2155-5435,opr_reports,Are peer review reports being published?,Not specified
Academy of Management Journal,0001-4273,opr_reports,Are peer review reports being published?,Not specified
ACS Nano,1936-086X,opr_reports,Are peer review reports being published?,Not specified
Advanced Energy Materials,1614-6840,opr_reports,Are peer review reports being published?,Not specified
Advanced Functional Materials,1616-3028,opr_reports,Are peer review reports being published?,Not specified
Advanced Materials,1521-4095,opr_reports,Are peer review reports being published?,Not specified
American Economic Review,0002-8282,opr_reports,Are peer review reports being published?,Not specified
American Journal of Political Science,1540-5907,opr_reports,Are peer review reports being published?,Not specified
American Journal of Public Health,1541-0048,opr_reports,Are peer review reports being published?,Not specified
American Political Science Review,1537-5943,opr_reports,Are peer review reports being published?,Not specified
American Sociological Review,1939-8271,opr_reports,Are peer review reports being published?,Not specified
Angewandte Chemie International Edition,1521-3773,opr_reports,Are peer review reports being published?,Not specified
Annals of Internal Medicine,0003-4819,opr_reports,Are peer review reports being published?,Not specified
Annals of Oncology,1569-8041,opr_reports,Are peer review reports being published?,Not specified
Annals of the Rheumatic Diseases,1468-2060,opr_reports,Are peer review reports being published?,Not specified
Annals of Tourism Research,0160-7383,opr_reports,Are peer review reports being published?,Not specified
Applied Energy,0306-2619,opr_reports,Are peer review reports being published?,Not specified
Applied Linguistics,1477-450X,opr_reports,Are peer review reports being published?,No
Applied Physics Letters,1077-3118,opr_reports,Are peer review reports being published?,Not specified
Astronomy & Astrophysics,1432-0746,opr_reports,Are peer review reports being published?,Not specified
Biomaterials,0142-9612,opr_reports,Are peer review reports being published?,Not specified
Blood,1528-0020,opr_reports,Are peer review reports being published?,Not specified
BMJ,1756-1833,opr_reports,Are peer review reports being published?,Conditional
Cancer Cell,1535-6108,opr_reports,Are peer review reports being published?,Not specified
Cancer Research,0099-7013,opr_reports,Are peer review reports being published?,Not specified
Cell,1097-4172,opr_reports,Are peer review reports being published?,Not specified
Cell Metabolism,1550-4131,opr_reports,Are peer review reports being published?,Not specified
Cell Stem Cell,1934-5909,opr_reports,Are peer review reports being published?,Not specified
"Chemical communications (Cambridge, England)",0144-557X,opr_reports,Are peer review reports being published?,No
Chemical Reviews,1520-6890,opr_reports,Are peer review reports being published?,Not specified
Chemical Society reviews,1460-4744,opr_reports,Are peer review reports being published?,No
Chemistry of Materials,1520-5002,opr_reports,Are peer review reports being published?,Not specified
Circulation,0009-7322,opr_reports,Are peer review reports being published?,Not specified
Circulation Research,1524-4571,opr_reports,Are peer review reports being published?,Not specified
Clinical Cancer Research,1557-3265,opr_reports,Are peer review reports being published?,Not specified
Computers & Education,0360-1315,opr_reports,Are peer review reports being published?,Not specified
Diabetes Care,1935-5548,opr_reports,Are peer review reports being published?,Not specified
Digital Journalism,2167-082X,opr_reports,Are peer review reports being published?,Not specified
Econometrica,1468-0262,opr_reports,Are peer review reports being published?,Not specified
Energy and Environmental Science,1754-5706,opr_reports,Are peer review reports being published?,Conditional
Environmental Science & Technology,0013-936X,opr_reports,Are peer review reports being published?,Not specified
European Heart Journal,1522-9645,opr_reports,Are peer review reports being published?,Not specified
European Urology,0302-2838,opr_reports,Are peer review reports being published?,Not specified
Gastroenterology,0016-5085,opr_reports,Are peer review reports being published?,No
Gender & Society,1552-3977,opr_reports,Are peer review reports being published?,Not specified
Geophysical Research Letters,1944-8007,opr_reports,Are peer review reports being published?,Not specified
Global Environmental Change,0959-3780,opr_reports,Are peer review reports being published?,Not specified
Government Information Quarterly,0740-624X,opr_reports,Are peer review reports being published?,Not specified
Gut,1468-3288,opr_reports,Are peer review reports being published?,No
Health Affairs,1544-5208,opr_reports,Are peer review reports being published?,No
Hepatology,1527-3350,opr_reports,Are peer review reports being published?,Not specified
IEEE Communications Magazine,0163-6804,opr_reports,Are peer review reports being published?,Not specified
IEEE Communications Surveys & Tutorials,1553-877X,opr_reports,Are peer review reports being published?,Not specified
"IEEE Conference on Computer Vision and Pattern Recognition, CVPR","Only ISBN available, counts as a book",opr_reports,Are peer review reports being published?,Not specified
IEEE International Conference on Computer Vision,2380-7504,opr_reports,Are peer review reports being published?,No
IEEE Transactions on Automatic Control,0018-9286,opr_reports,Are peer review reports being published?,Not specified
IEEE Transactions on Industrial Electronics,0278-0046,opr_reports,Are peer review reports being published?,Not specified
IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,opr_reports,Are peer review reports being published?,Not specified
IEEE Transactions on Power Electronics,0885-8993,opr_reports,Are peer review reports being published?,Not specified
IEEE Transactions on Signal Processing,1053-587X,opr_reports,Are peer review reports being published?,Not specified
Immunity,1074-7613,opr_reports,Are peer review reports being published?,Not specified
International Journal of Communication,1932-8036,opr_reports,Are peer review reports being published?,Not specified
International Journal of Production Economics,0925-5273,opr_reports,Are peer review reports being published?,Not specified
Journal of the American Medical Association,1538-3598,opr_reports,Are peer review reports being published?,No
Journal of Allergy and Clinical Immunology,0091-6749,opr_reports,Are peer review reports being published?,Not specified
Journal of Banking & Finance,0378-4266,opr_reports,Are peer review reports being published?,Not specified
Journal of Business Ethics,1573-0697,opr_reports,Are peer review reports being published?,Not specified
Journal of Business Research,0148-2963,opr_reports,Are peer review reports being published?,Not specified
