area,h5-index,title
"Business, Economics & Management",84,Academy of Management Journal
"Business, Economics & Management",141,American Economic Review
"Business, Economics & Management",77,Econometrica
"Business, Economics & Management",79,International Journal of Production Economics
"Business, Economics & Management",78,Journal of Banking & Finance
"Business, Economics & Management",90,Journal of Business Ethics
"Business, Economics & Management",94,Journal of Business Research
"Business, Economics & Management",75,Journal of Economic Perspectives
"Business, Economics & Management",115,Journal of Financial Economics
"Business, Economics & Management",88,Journal of Management
"Business, Economics & Management",79,Management Information Systems Quarterly
"Business, Economics & Management",83,Management Science
"Business, Economics & Management",76,Review of Economics and Statistics
"Business, Economics & Management",83,Strategic Management Journal
"Business, Economics & Management",109,The Journal of Finance
"Business, Economics & Management",94,The Quarterly Journal of Economics
"Business, Economics & Management",75,The Review of Economic Studies
"Business, Economics & Management",92,The Review of Financial Studies
"Business, Economics & Management",85,Tourism Management
"Business, Economics & Management",76,World Development
Chemical & Materials Sciences,137,ACS Applied Materials & Interfaces
Chemical & Materials Sciences,165,Accounts of Chemical Research
Chemical & Materials Sciences,199,ACS Nano
Chemical & Materials Sciences,128,Advanced Energy Materials
Chemical & Materials Sciences,146,Advanced Functional Materials
Chemical & Materials Sciences,235,Advanced Materials
Chemical & Materials Sciences,213,Angewandte Chemie International Edition
Chemical & Materials Sciences,131,"Chemical communications (Cambridge, England)"
Chemical & Materials Sciences,239,Chemical Reviews
Chemical & Materials Sciences,256,Chemical Society reviews
Chemical & Materials Sciences,124,Chemistry of Materials
Chemical & Materials Sciences,196,Energy and Environmental Science
Chemical & Materials Sciences,153,Journal of Materials Chemistry. A
Chemical & Materials Sciences,236,Journal of the American Chemical Society
Chemical & Materials Sciences,194,Nano Letters
Chemical & Materials Sciences,139,Nanoscale
Chemical & Materials Sciences,122,Nature Chemistry
Chemical & Materials Sciences,178,Nature Materials
Chemical & Materials Sciences,160,Nature Nanotechnology
Chemical & Materials Sciences,126,The Journal of Physical Chemistry Letters
Engineering & Computer Science,137,ACS Applied Materials & Interfaces
Engineering & Computer Science,199,ACS Nano
Engineering & Computer Science,128,Advanced Energy Materials
Engineering & Computer Science,146,Advanced Functional Materials
Engineering & Computer Science,235,Advanced Materials
Engineering & Computer Science,124,Chemistry of Materials
Engineering & Computer Science,196,Energy and Environmental Science
Engineering & Computer Science,126,IEEE Communications Surveys & Tutorials
Engineering & Computer Science,188,"IEEE Conference on Computer Vision and Pattern Recognition, CVPR"
Engineering & Computer Science,124,IEEE International Conference on Computer Vision
Engineering & Computer Science,127,IEEE Transactions on Industrial Electronics
Engineering & Computer Science,127,IEEE Transactions on Power Electronics
Engineering & Computer Science,153,Journal of Materials Chemistry. A
Engineering & Computer Science,194,Nano Letters
Engineering & Computer Science,139,Nanoscale
Engineering & Computer Science,178,Nature Materials
Engineering & Computer Science,160,Nature Nanotechnology
Engineering & Computer Science,157,Nature Photonics
Engineering & Computer Science,134,Neural Information Processing Systems (NIPS)
Engineering & Computer Science,161,Renewable and Sustainable Energy Reviews
Health & Medical Sciences,153,Blood
Health & Medical Sciences,154,BMJ
Health & Medical Sciences,244,Cell
Health & Medical Sciences,166,Circulation
Health & Medical Sciences,149,European Heart Journal
Health & Medical Sciences,147,Gastroenterology
Health & Medical Sciences,141,Immunity
Health & Medical Sciences,209,Journal of the American Medical Association
Health & Medical Sciences,196,Journal of Clinical Oncology
Health & Medical Sciences,180,Journal of the American College of Cardiology
Health & Medical Sciences,187,Nature Genetics
Health & Medical Sciences,168,Nature Medicine
Health & Medical Sciences,146,Nature Neuroscience
Health & Medical Sciences,149,Neuron
Health & Medical Sciences,180,PLoS One
Health & Medical Sciences,226,Proceedings of the National Academy of Sciences
Health & Medical Sciences,148,The Cochrane Database of Systematic Reviews
Health & Medical Sciences,278,The Lancet
Health & Medical Sciences,179,The Lancet Oncology
Health & Medical Sciences,358,The New England Journal of Medicine
"Humanities, Literature & Arts",38,Applied Linguistics
"Humanities, Literature & Arts",42,Digital Journalism
"Humanities, Literature & Arts",32,Gender & Society
"Humanities, Literature & Arts",38,International Journal of Communication
"Humanities, Literature & Arts",49,Journal of Communication
"Humanities, Literature & Arts",35,Journal of Pragmatics
"Humanities, Literature & Arts",37,Journalism
"Humanities, Literature & Arts",34,Journalism Practice
"Humanities, Literature & Arts",35,Journalism Studies
"Humanities, Literature & Arts",38,Language Learning
"Humanities, Literature & Arts",31,Lingua
"Humanities, Literature & Arts",32,"Media, Culture & Society"
"Humanities, Literature & Arts",32,Noûs
"Humanities, Literature & Arts",38,Philosophical Studies
"Humanities, Literature & Arts",32,Public Opinion Quarterly
"Humanities, Literature & Arts",36,Synthese
"Humanities, Literature & Arts",35,System
"Humanities, Literature & Arts",36,TESOL Quarterly
"Humanities, Literature & Arts",31,The China Quarterly
"Humanities, Literature & Arts",36,The Modern Language Journal
Life Sciences & Earth Sciences,244,Cell
Life Sciences & Earth Sciences,127,Cell Metabolism
Life Sciences & Earth Sciences,131,Cell Stem Cell
Life Sciences & Earth Sciences,125,Environmental Science & Technology
Life Sciences & Earth Sciences,131,Molecular Cell
Life Sciences & Earth Sciences,362,Nature
Life Sciences & Earth Sciences,158,Nature Biotechnology
Life Sciences & Earth Sciences,115,Nature Cell Biology
Life Sciences & Earth Sciences,130,Nature Climate Change
Life Sciences & Earth Sciences,240,Nature Communications
Life Sciences & Earth Sciences,187,Nature Genetics
Life Sciences & Earth Sciences,156,Nature Methods
Life Sciences & Earth Sciences,132,Nature Reviews Genetics
Life Sciences & Earth Sciences,127,Nature Reviews. Molecular Cell Biology
Life Sciences & Earth Sciences,149,Neuron
Life Sciences & Earth Sciences,208,Nucleic Acids Research
Life Sciences & Earth Sciences,180,PLoS One
Life Sciences & Earth Sciences,226,Proceedings of the National Academy of Sciences
Life Sciences & Earth Sciences,345,Science
Life Sciences & Earth Sciences,151,Scientific Reports
Physics & Mathematics,103,Applied Physics Letters
Physics & Mathematics,115,Astronomy & Astrophysics
Physics & Mathematics,87,Geophysical Research Letters
Physics & Mathematics,91,IEEE Transactions on Automatic Control
Physics & Mathematics,88,IEEE Transactions on Signal Processing
Physics & Mathematics,91,Journal of Cosmology and Astroparticle Physics
Physics & Mathematics,89,Journal of Geophysical Research
Physics & Mathematics,161,Journal of High Energy Physics
Physics & Mathematics,135,Monthly Notices of the Royal Astronomical Society
Physics & Mathematics,157,Nature Photonics
Physics & Mathematics,127,Nature Physics
Physics & Mathematics,103,Optics Express
Physics & Mathematics,130,Physical Review B
Physics & Mathematics,145,Physical Review D
Physics & Mathematics,197,Physical Review Letters
Physics & Mathematics,89,Physical Review X
Physics & Mathematics,116,Physics Letters B
Physics & Mathematics,97,Reviews of Modern Physics
Physics & Mathematics,163,The Astrophysical Journal
Physics & Mathematics,107,The European Physical Journal C
Social Sciences,64,Academic Medicine
Social Sciences,68,American Journal of Political Science
Social Sciences,86,American Journal of Public Health
Social Sciences,59,American Political Science Review
Social Sciences,58,American Sociological Review
Social Sciences,59,Annals of Tourism Research
Social Sciences,91,Computers & Education
Social Sciences,88,Global Environmental Change
Social Sciences,59,Government Information Quarterly
Social Sciences,80,Health Affairs
Social Sciences,90,Journal of Business Ethics
Social Sciences,61,Journal of Educational Psychology
Social Sciences,58,Journal of Youth and Adolescence
Social Sciences,59,Land Use Policy
Social Sciences,63,New Media and Society
Social Sciences,60,Progress in Human Geography
Social Sciences,57,Regional Studies
Social Sciences,84,Research Policy
Social Sciences,75,Social Science & Medicine
Social Sciences,57,Teaching and Teacher Education
