id,Publication,h5-index,h5-median
bus,American Economic Review,141,226
bus,Journal of Financial Economics,115,192
bus,The Journal of Finance,109,189
bus,The Quarterly Journal of Economics,94,191
bus,Journal of Business Research,94,129
bus,The Review of Financial Studies,92,163
bus,Journal of Business Ethics,90,124
bus,Journal of Management,88,154
bus,Tourism Management,85,135
bus,Academy of Management Journal,84,124
bus,Management Science,83,129
bus,Strategic Management Journal,83,122
bus,Management Information Systems Quarterly,79,148
bus,International Journal of Production Economics,79,120
bus,Journal of Banking & Finance,78,111
bus,Econometrica,77,143
bus,Review of Economics and Statistics,76,121
bus,World Development,76,104
bus,Journal of Economic Perspectives,75,147
bus,The Review of Economic Studies,75,115
bus_accountingtaxation,The Accounting Review,65,89
bus_accountingtaxation,Journal of Accounting and Economics,54,113
bus_accountingtaxation,Journal of Accounting Research,51,88
bus_accountingtaxation,Contemporary Accounting Research,48,81
bus_accountingtaxation,Review of Accounting Studies,42,69
bus_accountingtaxation,"Accounting, Organizations and Society",37,63
bus_accountingtaxation,"Accounting, Auditing & Accountability Journal",37,52
bus_accountingtaxation,Critical Perspectives on Accounting,37,49
bus_accountingtaxation,AUDITING: A Journal of Practice & Theory,36,65
bus_accountingtaxation,Management Accounting Research,34,63
bus_accountingtaxation,Journal of Accounting and Public Policy,30,47
bus_accountingtaxation,Accounting Horizons,30,42
bus_accountingtaxation,The British Accounting Review,30,42
bus_accountingtaxation,European Accounting Review,27,44
bus_accountingtaxation,Accounting and Business Research,26,40
bus_accountingtaxation,Accounting & Finance,26,37
bus_accountingtaxation,Journal of Business Finance & Accounting,25,47
bus_accountingtaxation,Accounting Forum,25,37
bus_accountingtaxation,Managerial Auditing Journal,23,39
bus_accountingtaxation,International Tax and Public Finance,23,35
bus_busgeneral,Management Information Systems Quarterly,79,148
bus_busgeneral,International Journal of Information Management,64,100
bus_busgeneral,American Economic Journal: Applied Economics,56,92
bus_busgeneral,Information & Management,56,79
bus_busgeneral,Information Systems Research,50,84
bus_busgeneral,Business Horizons,45,70
bus_busgeneral,American Journal of Agricultural Economics,45,62
bus_busgeneral,European Journal of Information Systems,42,73
bus_busgeneral,Journal of Management Information Systems,42,64
bus_busgeneral,Environmental Innovation and Societal Transitions,39,54
bus_busgeneral,International Journal of Forecasting,38,58
bus_busgeneral,Agricultural Economics,38,57
bus_busgeneral,Industrial Management & Data Systems,38,52
bus_busgeneral,International Journal of Business and Management,37,53
bus_busgeneral,Family Business Review,36,60
bus_busgeneral,Journal of Economic Psychology,36,54
bus_busgeneral,International Letters of Social and Humanistic Sciences,35,44
bus_busgeneral,Journal of Information Technology,32,47
bus_busgeneral,Journal of Agricultural Economics,32,40
bus_busgeneral,VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations,31,51
bus_developmenteconomics,World Development,76,104
bus_developmenteconomics,Journal of Development Economics,56,86
bus_developmenteconomics,The Journal of Peasant Studies,43,87
